Date,Occupancy Index,Room Rate Index,Tourist Demand Index,Airfare Index
14-02-2018,-990.174,2920.366,-857.901,1050.963
15-02-2018,-985.011,2961.108,-863.835,1048.445
16-02-2018,-982.373,3218.865,-849.501,1053.321
17-02-2018,-993.679,3286.613,-842.696,1076.647
18-02-2018,-1006.239,3229.992,-871.165,1095.47
19-02-2018,-1015.595,2906.815,-875.212,1099.776
20-02-2018,-1001.122,3056.924,-877.476,1082.016
21-02-2018,-1001.845,3084.646,-879.573,1081.153
22-02-2018,-1009.175,3283.133,-885.732,1088.927
23-02-2018,-1025.081,3052.223,-924.735,1104.61
24-02-2018,-1031.003,2913.866,-908.05,1097.619
25-02-2018,-1021.098,3136.085,-895.517,1086.455
26-02-2018,-1021.358,2933.628,-907.15,1085.232
27-02-2018,-1010.659,3036.313,-903.883,1072.049
28-02-2018,-1007.092,3014.852,-889.675,1073.968
01-03-2018,-1005.576,2912.974,-876.173,1069.469
02-03-2018,-999.933,3116.897,-868.236,1060.507
03-03-2018,-1002.879,3208.595,-879.398,1069.108
04-03-2018,-1015.098,2924.792,-879.036,1086.014
05-03-2018,-1005.637,3122.991,-865.463,1073.77
06-03-2018,-1005.399,2992.175,-879.173,1081.104
07-03-2018,-1001.797,2910.216,-881.385,1074.234
08-03-2018,-989.679,3047.787,-878.412,1064.594
09-03-2018,-997.661,2974.446,-865.019,1069.43
10-03-2018,-996.981,2854.459,-875.19,1064.795
11-03-2018,-984.352,2900.129,-868.236,1049.709
12-03-2018,-976.185,2925.082,-860.581,1047.86
13-03-2018,-972.039,3288.034,-853.998,1050.199
14-03-2018,-992.217,3076.054,-877.976,1074.246
15-03-2018,-1000.584,3089.394,-893.587,1075.42
16-03-2018,-1008.38,2860.026,-887.793,1077.277
17-03-2018,-1003.741,2742.935,-871.595,1055.136
18-03-2018,-986.257,2576.294,-863.2,1034.893
19-03-2018,-962.359,2960.96,-828.964,1004.035
20-03-2018,-957.031,3260.401,-836.645,1016.939
21-03-2018,-977.548,3003.18,-865.572,1047.212
22-03-2018,-984.939,2913.669,-863.931,1047.609
23-03-2018,-982.96,2954.097,-857.288,1043.425
24-03-2018,-980.152,3085.798,-853.144,1041.041
25-03-2018,-989.975,2973.071,-855.352,1059.984
26-03-2018,-990.237,2965.664,-859.861,1062.657
27-03-2018,-986.091,2882.314,-874.281,1054.882
28-03-2018,-978.477,2990.528,-882.871,1040.365
29-03-2018,-986.767,3160.965,-872.917,1042.447
30-03-2018,-998.716,3058.09,-865.889,1058.089
31-03-2018,-999.847,3178.791,-883.908,1065.171
01-04-2018,-1014.922,3023.996,-907.377,1078.753
02-04-2018,-1010.128,2812.504,-900.149,1081.501
03-04-2018,-998.21,2696.192,-901.724,1058.488
04-04-2018,-987.876,2885.311,-869.821,1034.576
05-04-2018,-978.571,2957.332,-848.842,1028.246
06-04-2018,-974.932,3109.639,-842.099,1038.699
07-04-2018,-984.462,2934.37,-854.141,1047.973
08-04-2018,-980.347,2852.285,-855.259,1042.579
09-04-2018,-974.227,3070.229,-836.408,1036.095
10-04-2018,-972.09,3196.459,-823.487,1047.181
11-04-2018,-983.553,3246.88,-844.028,1062.923
12-04-2018,-997.753,3165.397,-875.922,1084.302
13-04-2018,-1007.985,3318.127,-884.331,1091.771
14-04-2018,-1029.303,2935.358,-905.304,1104.26
15-04-2018,-1025.513,3029.055,-909.79,1084.124
16-04-2018,-1020.656,3088.757,-909.538,1079.353
17-04-2018,-1017.654,2959.841,-913.022,1078.032
18-04-2018,-1007.721,2814.766,-898.172,1073.807
19-04-2018,-1000.92,2907.21,-868.068,1055.499
20-04-2018,-986.643,2800.139,-861.066,1052.99
21-04-2018,-979.436,2568.349,-854.277,1035.675
22-04-2018,-955.939,2874.672,-812.787,1006.441
23-04-2018,-949.33,2870.506,-800.169,1016.053
24-04-2018,-945.386,2861.288,-808.643,1015.717
25-04-2018,-938.196,2918.552,-811.983,1016.462
26-04-2018,-940.144,2916.009,-815.06,1020.016
27-04-2018,-947.725,3021.367,-831.602,1018.569
28-04-2018,-955.979,3363.515,-836.005,1036.103
29-04-2018,-981.48,3508.425,-846.831,1065.948
30-04-2018,-1014.609,3316.849,-871.229,1104.718
01-05-2018,-1022.617,3253.367,-872.915,1116.408
02-05-2018,-1028.009,3346.458,-893.653,1130.213
03-05-2018,-1044.448,3097.7,-905.704,1142.562
04-05-2018,-1048.567,3245.878,-910.044,1136.198
05-05-2018,-1054.022,3126.625,-931.362,1134.734
06-05-2018,-1050.586,2953.319,-917.957,1134.072
07-05-2018,-1038.397,3133.65,-882.338,1113.944
08-05-2018,-1030.68,3043.652,-888.823,1115.38
09-05-2018,-1023.408,2944.263,-900.828,1106.269
10-05-2018,-1007.644,2922.178,-882.421,1087.521
11-05-2018,-1001.453,3051.224,-878.028,1076.275
12-05-2018,-997.045,3126.854,-868.867,1076.986
13-05-2018,-1006.856,3257.526,-880.566,1081.337
14-05-2018,-1021.944,3057.991,-902.193,1098.44
15-05-2018,-1018.263,2937.092,-896.619,1092.572
16-05-2018,-1008.979,2754.293,-886.825,1079.343
17-05-2018,-996.355,2969.751,-870.999,1054.448
18-05-2018,-999.751,3025.632,-872.513,1055.737
19-05-2018,-1006.199,2858.38,-861.776,1060.047
20-05-2018,-992.764,2934.38,-856.614,1052.244
21-05-2018,-988.764,3004.328,-845.506,1049.958
22-05-2018,-981.162,3058.413,-829.054,1054.712
23-05-2018,-978.824,3072.696,-853.722,1061.054
24-05-2018,-987.1,3084.294,-863.475,1071.32
25-05-2018,-992.651,2981.88,-881.609,1070.293
26-05-2018,-993.55,2960.39,-852.759,1066.799
27-05-2018,-991.115,2770.913,-862.392,1056.439
28-05-2018,-976.599,2830.131,-864.381,1040.119
29-05-2018,-967.091,2808.453,-848.519,1035.978
30-05-2018,-956.31,2756.804,-843.296,1024.795
31-05-2018,-954.183,2982.536,-839.544,1015.321
01-06-2018,-961.694,3025.528,-833.902,1020.442
02-06-2018,-969.026,2998.989,-849.15,1038.309
03-06-2018,-970.088,3082.77,-836.897,1043.029
04-06-2018,-977.798,2979.459,-838.807,1054.402
05-06-2018,-973.204,3007.919,-839.539,1050.099
06-06-2018,-967.049,2723.042,-857.99,1051.216
07-06-2018,-958.96,2907.004,-848.769,1026.004
08-06-2018,-964.252,2869.533,-849.277,1028.34
09-06-2018,-962.626,2839.892,-836.848,1024.846
10-06-2018,-960.802,2839.881,-826.92,1022.37
11-06-2018,-950.21,2911.651,-841.762,1022.36
12-06-2018,-946.969,2829.3,-848.767,1023.343
13-06-2018,-944.629,2957.155,-815.768,1018.953
14-06-2018,-948.769,3123.398,-832.935,1026.335
15-06-2018,-967.072,3007.265,-855.309,1045.278
16-06-2018,-978.233,2948.93,-852.474,1054.659
17-06-2018,-977.832,2788.97,-854.792,1053.393
18-06-2018,-969.455,2870.748,-829.79,1036.85
19-06-2018,-966.113,3112.046,-853.776,1034.331
20-06-2018,-972.548,2874.266,-860.471,1050.946
21-06-2018,-972.124,3114.939,-850.089,1041.897
22-06-2018,-983.17,2973.71,-850.845,1053.994
23-06-2018,-984.061,3143.123,-846.605,1057.656
24-06-2018,-994.19,2944.008,-839.144,1067.35
25-06-2018,-990.62,2904.06,-845.457,1064.057
26-06-2018,-980.482,3015.109,-866.595,1055.049
27-06-2018,-980.468,3074.363,-860.056,1058.152
28-06-2018,-988.543,3086.02,-859.457,1067.316
29-06-2018,-996.156,3347.861,-880.736,1071.325
30-06-2018,-1015.823,3069.426,-896.895,1094.974
01-07-2018,-1021.415,2745.01,-899.989,1086.613
02-07-2018,-1002.093,2590.031,-886.437,1057.141
03-07-2018,-969.099,2875.398,-867.298,1022.852
04-07-2018,-968.981,2940.076,-846.999,1018.953
05-07-2018,-967.136,3102.374,-830.747,1021.537
06-07-2018,-974.355,3131.82,-840.24,1040.912
07-07-2018,-982.692,2852.262,-857.103,1056.751
08-07-2018,-979.957,3037.238,-857.464,1048.283
09-07-2018,-981.767,3088.291,-859.433,1053.684
10-07-2018,-990.887,3195.446,-860.121,1060.528
11-07-2018,-1003.84,3363.357,-866.433,1074.755
12-07-2018,-1027.198,3476.008,-886.467,1093.199
13-07-2018,-1050.804,3517.231,-911.472,1117.187
14-07-2018,-1077.359,3412.731,-941.468,1139.202
15-07-2018,-1085.233,3209.005,-962.328,1149.759
16-07-2018,-1086.484,3086.13,-972.634,1139.967
17-07-2018,-1073.269,3440.151,-955.749,1123.49
18-07-2018,-1085.313,3252.994,-967.087,1141.517
19-07-2018,-1082.145,3329.078,-983.495,1143.874
20-07-2018,-1092.75,3089.838,-982.826,1151.676
21-07-2018,-1085.282,3170.375,-960.282,1142.223
22-07-2018,-1082.357,3196.68,-938.456,1137.418
23-07-2018,-1076.282,2990.472,-934.431,1134.149
24-07-2018,-1051.583,2871.539,-918.791,1112.105
25-07-2018,-1033.546,3053.985,-901.522,1087.707
26-07-2018,-1025.115,3176.047,-907.082,1087.48
27-07-2018,-1032.551,3363.536,-911.072,1097.007
28-07-2018,-1055.159,3396.887,-934.72,1112.208
29-07-2018,-1067.293,3263.461,-926.217,1128.305
30-07-2018,-1062.675,3337.688,-933.877,1133.437
31-07-2018,-1065.395,3242.869,-933.582,1144.222
01-08-2018,-1066.371,3207.552,-923.247,1149.511
02-08-2018,-1063.948,3061.447,-931.054,1146.732
03-08-2018,-1062.876,3244.821,-941.158,1130.556
04-08-2018,-1070.443,2814.878,-936.573,1136.208
05-08-2018,-1049.581,2982.947,-913.897,1107.243
06-08-2018,-1033.878,3020.258,-909.277,1092.821
07-08-2018,-1029.338,3065.382,-909.415,1087.57
08-08-2018,-1022.149,3059.225,-903.927,1087.137
09-08-2018,-1024.206,2938.537,-884.675,1084.553
10-08-2018,-1014.426,2885.401,-884.239,1074.787
11-08-2018,-1006.213,2924.801,-860.707,1061.372
12-08-2018,-994.639,2706.28,-856.774,1060.779
13-08-2018,-967.75,2903.394,-835.929,1033.47
14-08-2018,-962.725,2839.19,-844.501,1035.871
15-08-2018,-959.816,2800.884,-830.258,1027.027
16-08-2018,-952.699,2679.209,-835.967,1019.729
17-08-2018,-939.39,2915.277,-816.445,1000.131
18-08-2018,-939.93,3056.283,-802.007,1012.638
19-08-2018,-950.394,2982.665,-822.274,1027.271
20-08-2018,-943.323,2942.034,-831.228,1031.044
21-08-2018,-946.333,3410.509,-824.168,1037.474
22-08-2018,-977.51,3068.125,-842.142,1075.605
23-08-2018,-982.45,3169.522,-849.703,1079.005
24-08-2018,-996.718,3266.783,-858.354,1092.475
25-08-2018,-1017.263,3168.436,-873.097,1098.522
26-08-2018,-1022.545,3223.262,-888.92,1100.518
27-08-2018,-1029.092,3072.597,-898.11,1111.22
28-08-2018,-1024.445,2976.318,-904.137,1107.368
29-08-2018,-1023.541,2874.16,-914.072,1093.622
30-08-2018,-1010.639,2832.574,-901.889,1075.211
31-08-2018,-1008.561,3014.786,-894.07,1052.246
01-09-2018,-1011.009,2935.227,-893.651,1061.739
02-09-2018,-1008.669,2954.556,-876.803,1055.017
03-09-2018,-995.831,2975.635,-865.176,1049.392
04-09-2018,-992.341,2791.507,-858.921,1049.9
05-09-2018,-975.796,2858.362,-859.076,1039.557
06-09-2018,-974.768,2934.181,-849.195,1030.138
07-09-2018,-972.267,3041.456,-845.026,1030.036
08-09-2018,-980.484,2719.664,-833.781,1041.28
09-09-2018,-957.464,2854.46,-845.285,1024.302
10-09-2018,-954.505,3018.086,-820.696,1022.678
11-09-2018,-955.092,2937.669,-808.599,1032.467
12-09-2018,-957.621,3124.797,-817.681,1039.676
13-09-2018,-971.094,2909.102,-849.983,1051.868
14-09-2018,-968.93,2816.181,-827.569,1039.519
15-09-2018,-959.091,2801.704,-809.749,1028.627
16-09-2018,-951.932,2954.908,-828.183,1017.108
17-09-2018,-953.472,3112.97,-827.839,1028.839
18-09-2018,-960.379,2929.271,-847.445,1044.903
19-09-2018,-964.526,2836.582,-837.689,1042.53
20-09-2018,-958.279,2828.639,-817.257,1036.928
21-09-2018,-953.852,2992.404,-825.524,1030.304
22-09-2018,-961.741,3073.271,-830.792,1038.382
23-09-2018,-967.329,2821.186,-843.495,1049.387
24-09-2018,-959.746,3226.819,-832.558,1031.489
25-09-2018,-978.743,3245.498,-847.969,1056.802
26-09-2018,-990.365,3098.319,-883.541,1078.405
27-09-2018,-1001.747,3008.122,-868.468,1082.457
28-09-2018,-1003.109,3076.749,-859.105,1080.423
29-09-2018,-1004.75,3099.79,-877.138,1085.062
30-09-2018,-1009.72,3095.501,-881.324,1086.067
01-10-2018,-1008.843,2906.503,-882.359,1090.864
02-10-2018,-1001.813,2910.466,-881.72,1077.894
03-10-2018,-995.287,3122.103,-860.658,1071.648
04-10-2018,-1003.936,3030.945,-872.513,1079.411
05-10-2018,-1002.041,2963.06,-852.962,1080.777
06-10-2018,-995.601,3052.536,-853.651,1071.096
07-10-2018,-998.782,3287.548,-859.666,1072.344
08-10-2018,-1010.673,3195.694,-874.219,1090.8
09-10-2018,-1018.045,3114.676,-893.381,1097.265
10-10-2018,-1022.199,3272.026,-895.534,1101.767
11-10-2018,-1039.35,3020.87,-898.604,1112.976
12-10-2018,-1036.41,2879.429,-890.599,1106.09
13-10-2018,-1019.442,2843.566,-889.021,1082.944
14-10-2018,-998.899,2920.899,-876.449,1066.781
15-10-2018,-984.696,2992.819,-874.35,1061.913
16-10-2018,-993.393,2971.31,-870.349,1058.353
17-10-2018,-989.423,3245.43,-872.87,1056.021
18-10-2018,-1007.989,3073.805,-878.535,1075.745
19-10-2018,-1014.209,3333.541,-882.183,1080.471
20-10-2018,-1033.747,3133.877,-869.466,1103.917
21-10-2018,-1027.591,3109.898,-890.006,1100.224
22-10-2018,-1029.495,2812.411,-906.673,1097.558
23-10-2018,-1011.904,2916.034,-895.64,1075.099
24-10-2018,-1000.105,2862.513,-890.217,1067.358
25-10-2018,-996.44,2922.117,-867.028,1056.558
26-10-2018,-995.485,3035.766,-848.158,1052.303
27-10-2018,-991.025,2961.708,-844.171,1057.925
28-10-2018,-983.466,2969.221,-850.202,1052.371
29-10-2018,-976.103,3001.644,-855.214,1051.6
30-10-2018,-978.449,3018.594,-853.018,1055.598
31-10-2018,-983.206,3072.059,-866.992,1060.404
01-11-2018,-989.02,3106.495,-874.083,1068.148
02-11-2018,-1005.32,2901.5,-882.584,1078.231
03-11-2018,-997.668,3078.275,-873.227,1063.015
04-11-2018,-1003.465,2820.989,-879.777,1068.222
05-11-2018,-989.384,2922.55,-864.494,1054.702
06-11-2018,-979.599,2910.689,-839.006,1055.209
07-11-2018,-968.643,3090.251,-863.878,1051.944
08-11-2018,-983.232,3182.772,-876.246,1061.489
09-11-2018,-1001.927,2922.485,-876.137,1070.376
10-11-2018,-990.808,3096.023,-871.608,1063.275
11-11-2018,-1003.441,3185.687,-869.965,1063.866
12-11-2018,-1008.751,2861.557,-868.612,1078.519
13-11-2018,-992.426,3006.654,-857.883,1062.535
14-11-2018,-988.99,3347.601,-867.406,1065.13
15-11-2018,-1013.327,3240.191,-870.695,1088.262
16-11-2018,-1017.633,3125.929,-870.179,1098.759
17-11-2018,-1020.002,3038.048,-882.955,1098.161
18-11-2018,-1016.883,3157.765,-889.608,1096.36
19-11-2018,-1024.68,3196.111,-897.856,1096.927
20-11-2018,-1027.335,2978.06,-926.373,1106.317
21-11-2018,-1023.476,2832.997,-901.408,1094.996
22-11-2018,-1001.831,2898.256,-854.309,1071.606
23-11-2018,-990.017,3285.655,-865.753,1061.436
24-11-2018,-1003.719,3070.439,-869.069,1082.799
25-11-2018,-1010.187,3198.852,-866.457,1087.076
26-11-2018,-1016.121,3187.252,-889.464,1096.943
27-11-2018,-1021.094,2877.454,-904.424,1105.659
28-11-2018,-1015.122,3012.163,-896.58,1074.649
29-11-2018,-1010.015,3072.294,-881.438,1076.388
30-11-2018,-1011.073,3179.443,-878.573,1075.912
01-12-2018,-1022.018,2975.943,-898.23,1089.775
02-12-2018,-1009.94,3057.599,-882.443,1078.928
03-12-2018,-1010.815,3023.848,-895.515,1081.885
04-12-2018,-1007.657,3089.016,-893.677,1082.673
05-12-2018,-1012.029,3050.978,-881.845,1083.227
06-12-2018,-1013.654,3212.625,-867.901,1078.768
07-12-2018,-1023.55,3085.556,-880.475,1096.272
08-12-2018,-1020.037,3236.003,-890.928,1092.754
09-12-2018,-1025.736,3142.01,-901.904,1105.448
10-12-2018,-1031.748,3005.191,-916.879,1105.198
11-12-2018,-1025.052,2966.605,-905.729,1095.228
12-12-2018,-1019.273,3211.203,-884.46,1085.354
13-12-2018,-1022.911,3539.127,-883.702,1100.543
14-12-2018,-1049.694,3409.002,-900.373,1126.587
15-12-2018,-1065.499,3275.766,-924.744,1141.573
16-12-2018,-1070.907,3233.537,-927.304,1142.996
17-12-2018,-1063.616,3012.042,-926.2,1142.217
18-12-2018,-1052.076,3120.082,-923.206,1125.389
19-12-2018,-1047.926,3213.6,-913.927,1119.901
20-12-2018,-1049.884,3159.228,-921.151,1126.3
21-12-2018,-1049.398,3159.675,-933.502,1123.606
22-12-2018,-1058.082,3239.792,-933.544,1127.826
23-12-2018,-1066.765,3192.85,-943.712,1131.945
24-12-2018,-1068.415,3089.672,-938.149,1124.801
25-12-2018,-1057.814,3146.09,-938.484,1121.781
26-12-2018,-1061.36,3276.068,-924.328,1117.462
27-12-2018,-1064.397,3185.149,-943.557,1125.626
28-12-2018,-1064.812,3135.986,-936.779,1124.314
29-12-2018,-1061.215,2954.075,-919.395,1116.424
30-12-2018,-1048.456,3035.77,-909.458,1100.509
31-12-2018,-1039.824,3067.513,-908.064,1092.96
01-01-2019,-1031.502,2938.498,-924.922,1097.202
02-01-2019,-1022.603,2718.047,-929.217,1085.012
03-01-2019,-1004.696,2479.737,-894.219,1058.389
04-01-2019,-977.948,2729.663,-852.369,1017.917
05-01-2019,-967.057,2944.603,-833.788,1005.453
06-01-2019,-960.558,2862.773,-833.156,1015.173
07-01-2019,-953.075,3070.498,-832.683,1013.054
08-01-2019,-958.196,3138.973,-834.997,1031.924
09-01-2019,-968.133,2801.377,-846.102,1054.659
10-01-2019,-960.44,2742.026,-856.382,1038.116
11-01-2019,-958.861,2842.765,-836.505,1024.121
12-01-2019,-959.228,2936.749,-835.766,1023.226
13-01-2019,-960.974,2857.215,-826.245,1025.594
14-01-2019,-956.075,3045.169,-837.111,1023.747
15-01-2019,-959.456,2994.258,-835.503,1036.836
16-01-2019,-961.763,3071.614,-861.179,1041.247
17-01-2019,-975.333,2932.66,-860.026,1048.902
18-01-2019,-982.807,2999.159,-862.812,1047.986
19-01-2019,-990.581,3269.84,-879.942,1050.04
20-01-2019,-1005.812,3233.897,-869.766,1077.712
21-01-2019,-1014.742,3411.819,-875.824,1094.503
22-01-2019,-1035.144,3190.742,-894.085,1118.4
23-01-2019,-1038.409,3405.817,-906.558,1116.032
24-01-2019,-1050.206,3225.539,-931.426,1136.42
25-01-2019,-1056.881,3115.342,-956.119,1132.91
26-01-2019,-1062.192,3132,-942.357,1119.981
27-01-2019,-1063.689,3131.97,-916.292,1114.981
28-01-2019,-1049.77,2938.332,-920.951,1111.5
29-01-2019,-1041.123,3307.159,-904.421,1091.771
30-01-2019,-1049.943,3247.448,-911.824,1109.39
31-01-2019,-1057.892,3084.573,-914.259,1118.153
01-02-2019,-1050.839,3189.495,-927.671,1116.746
02-02-2019,-1059.248,3206.275,-916.78,1115.825
03-02-2019,-1056.255,3162.857,-912.565,1126.046
04-02-2019,-1050.466,3170.937,-894.357,1123.634
05-02-2019,-1045.903,3129.47,-905.389,1119.935
06-02-2019,-1037.568,3078.823,-911.307,1117.294
07-02-2019,-1036.577,2875.261,-934.918,1110.566
08-02-2019,-1035.959,2785.171,-913.756,1090.993
09-02-2019,-1015.725,2951.632,-894.006,1071.131
10-02-2019,-1008.597,3116.422,-882.789,1067.479
11-02-2019,-1009.283,3226.832,-878.162,1071.23
12-02-2019,-1014.253,3281.68,-891.88,1090.677
13-02-2019,-1024.529,3127.084,-889.306,1109.98
14-02-2019,-1033.818,3155.103,-892.666,1108.592
15-02-2019,-1035.812,3066.334,-896.988,1107.63
16-02-2019,-1033.969,2967.037,-892.737,1107.293
17-02-2019,-1022.208,2951.921,-884.747,1093.956
18-02-2019,-1014.252,2959.57,-873.548,1081.325
19-02-2019,-1000.423,3147.315,-893.924,1079.692
20-02-2019,-1010.364,3421.895,-899.148,1081.44
21-02-2019,-1034.33,3164.77,-916.967,1111.092
22-02-2019,-1036.72,3320.565,-904.523,1116.971
23-02-2019,-1050.494,3173.254,-903.063,1128.706
24-02-2019,-1049.301,3122.182,-912.818,1127.745
25-02-2019,-1043.789,2987.098,-921.432,1121.259
26-02-2019,-1027.786,3004.141,-911.186,1111.469
27-02-2019,-1030.693,2934.426,-887.294,1100.097
28-02-2019,-1015.347,2858.8,-896.646,1084.75
01-03-2019,-1008.578,3020.499,-875.501,1063.679
02-03-2019,-1005.111,2966.491,-889.148,1063.61
03-03-2019,-997.032,3034.506,-872.137,1064.909
04-03-2019,-994.26,3188.35,-867.405,1070.099
05-03-2019,-1005.855,3133.031,-874.947,1083.344
06-03-2019,-1007.561,3141.998,-879.482,1088.568
07-03-2019,-1011.733,3305.993,-886.873,1091.665
08-03-2019,-1028.527,3275.175,-905.602,1106.721
09-03-2019,-1043.401,3368.728,-910.828,1116.09
10-03-2019,-1057.943,3312.553,-917.882,1133.427
11-03-2019,-1062.059,3266.19,-931.827,1147.712
12-03-2019,-1065.729,2942.401,-940.484,1147.394
13-03-2019,-1048.019,2995.984,-916.32,1121.475
14-03-2019,-1038.16,2985.727,-904.187,1106.006
15-03-2019,-1025.34,2693.407,-896.057,1095.977
16-03-2019,-1001.268,2789.275,-865.859,1061.185
17-03-2019,-986.332,2925.682,-859.914,1045.748
18-03-2019,-978.873,2818.915,-848.361,1043.953
19-03-2019,-968.437,2934.083,-853.104,1028.184
20-03-2019,-968.51,3022.799,-856.381,1031.32
21-03-2019,-971.422,3033.712,-846.703,1041.667
22-03-2019,-976.533,3106.814,-850.137,1053.047
23-03-2019,-985.493,3017.674,-864.548,1063.622
24-03-2019,-991.127,3087.883,-861.055,1056.179
25-03-2019,-993.39,3214.836,-863.169,1065.854
26-03-2019,-1004.605,2950.728,-879.059,1085.565
27-03-2019,-997.479,3278.974,-877.174,1073.804
28-03-2019,-1010.197,3358.525,-888.243,1097.503
29-03-2019,-1031.851,3315.552,-905.477,1116.273
30-03-2019,-1048.806,3453.547,-913.177,1125.775
31-03-2019,-1064.472,3319.044,-926.507,1142.208
01-04-2019,-1066.711,2915.922,-937.286,1143.91
02-04-2019,-1048.846,2652.945,-927.537,1117.54
03-04-2019,-1020.708,2784.406,-896.519,1077.48
04-04-2019,-1001.219,2876.51,-891.531,1058.978
05-04-2019,-993.401,3031.028,-877.946,1051.676
06-04-2019,-996.09,3022.402,-855.473,1050.847
07-04-2019,-995.505,3035.404,-861.832,1051.291
08-04-2019,-1000.224,3226.28,-851.469,1052.916
09-04-2019,-1002.59,3327.769,-862.341,1078.987
10-04-2019,-1018.356,3120.077,-880.989,1105.76
11-04-2019,-1021.486,3088.306,-891.55,1104.084
12-04-2019,-1025.407,3050.111,-915.541,1103.71
13-04-2019,-1027.253,2959.789,-904.443,1096.28
14-04-2019,-1023.993,3037.491,-888.977,1083.974
15-04-2019,-1020.813,3025.437,-902.287,1081.372
16-04-2019,-1013.24,2954.68,-905.122,1078.066
17-04-2019,-1006.426,2937.494,-893.111,1070.852
18-04-2019,-996.059,2680.589,-893.759,1060.448
19-04-2019,-982.92,2819.664,-863.403,1037.453
20-04-2019,-977.123,2666.511,-836.216,1028.819
21-04-2019,-957.198,2714.255,-816.159,1012.359
22-04-2019,-936.549,3001.984,-810.325,1000.552
23-04-2019,-940.762,3063.142,-836.116,1016.214
24-04-2019,-951.54,2764.17,-842.845,1034.271
25-04-2019,-955.415,3044.01,-824.682,1021.966
26-04-2019,-963.277,3115.53,-833.933,1034.973
27-04-2019,-972.106,2839.862,-840.288,1045.561
28-04-2019,-958.298,2880.303,-822.701,1037.612
29-04-2019,-950.719,2825.599,-829.971,1035.916
30-04-2019,-943.669,2787.162,-819.244,1023.527
01-05-2019,-936.532,2778.439,-830.413,1014.048
02-05-2019,-934.683,2639.094,-821.463,1011.684
03-05-2019,-920.134,2749.366,-809.345,996.293
04-05-2019,-921.02,2598.931,-781.388,992.473
05-05-2019,-902.572,2479.476,-754.351,979.65
06-05-2019,-876.286,2687.956,-760.305,958.192
07-05-2019,-875.84,2783.467,-758.139,960.743
08-05-2019,-881.18,2639.99,-761.665,968.948
09-05-2019,-882.604,2782.133,-758.805,967.991
10-05-2019,-889.538,2724.641,-774.211,974.261
11-05-2019,-890.762,2920.201,-775.788,972.057
12-05-2019,-904.11,3069.254,-788.486,987.917
13-05-2019,-922.379,3343.788,-790.951,1012.052
14-05-2019,-952.064,3075.784,-818.282,1052.992
15-05-2019,-962.368,3072.463,-832.367,1054.608
16-05-2019,-978.275,3130.775,-852.396,1062.605
17-05-2019,-994.746,3385.794,-847.908,1075.714
18-05-2019,-1014.414,3188.538,-887.225,1096.472
19-05-2019,-1024.944,3175.331,-894.867,1101.841
20-05-2019,-1034.681,3305.082,-891.057,1103.933
21-05-2019,-1042.458,3367.025,-919.353,1117.181
